Ciudad;Lugar;Cliente;Vendedor;Territorio;Socio;Ventas;Cantidad;Producto;Fecha;Precio_Unitario;Nivel_Venta
Huancayo;Peru;CORPORACION GRAFICA NAVARRETE;Jose;Sur;Ringo;173330;24;Accesorios;30/04/2016;7222,083333;Media
Arequipa;Peru;San Martin Inc;Victor;Norte;Ringo;235562;16;Viajes;22/04/2016;14722,625;Alta
Arequipa;Peru;Unique, S.A.;Victor;Norte;Ringo;98041;33;Viajes;22/04/2016;2970,939394;Bajo
Arequipa;Peru;Banco Interno;Victor;Norte;Ringo;112955;30;Viajes;21/04/2016;3765,166667;Media
Cusco;Peru;Americana de Contactos;Victor;Norte;John;183858;31;Juguetes;29/04/2016;5930,903226;Media
Cajamarca;Peru;Gloria;Victor;Norte;Ringo;232459;29;Viajes;22/04/2016;8015,827586;Alta
Piura;Peru;CORPORACION GRAFICA NAVARRETE;Jose;Sur;Ringo;249370;27;Juguetes;30/04/2016;9235,925926;Alta
Piura;Peru;Profuturo AFP;Victor;Norte;Ringo;149041;24;Viajes;13/04/2016;6210,041667;Media
Lima;Peru;Seguros Internos SAC;Edwin;Norte;John;186253;17;Accesorios;26/08/2015;10956,05882;Media
Lima;Peru;Servicios Generales;Victor;Norte;John;154709;37;Calzado;31/08/2015;4181,324324;Media
Trujillo;Peru;IFH Peru LTD;Edwin;Norte;Ringo;198586;28;Accesorios;14/08/2015;7092,357143;Media
Trujillo;Peru;BOTICAS & SALUD S.A.C.;Nadia;Sur;Ringo;100738;15;Electrodomesticos;19/08/2015;6715,866667;Media
Trujillo;Peru;Supermercados Peruanos S.A.;Victor;Norte;John;157832;40;Juguetes;31/08/2015;3945,8;Media
Trujillo;Peru;Supermercados Peruanos S.A.;Victor;Norte;John;244028;24;Accesorios;31/08/2015;10167,83333;Alta
Huancayo;Peru;San Martin Inc;Marco;Sur;Ringo;164158;28;Electrodomesticos;28/08/2015;5862,785714;Media
Huancayo;Peru;IFH Peru LTD;Maria;Norte;John;237486;36;Viajes;31/08/2015;6596,833333;Alta
Huancayo;Peru;OMNIA SOLUTION S.A.;Edwin;Sur;Ringo;236324;25;Viajes;21/08/2015;9452,96;Alta
Loreto;Peru;TEXFINA S.A.;Nadia;Sur;Ringo;175071;38;Electrodomesticos;31/08/2015;4607,131579;Media
Loreto;Peru;IFH Peru LTD;Victor;Norte;Ringo;145417;22;Accesorios;14/08/2015;6609,863636;Media
Loreto;Peru;IFH Peru LTD;Edwin;Norte;Ringo;164588;41;Electrodomesticos;14/08/2015;4014,341463;Media
Loreto;Peru;NEXTEL PERU S.A.;Victor;Norte;Ringo;197823;28;Viajes;13/08/2015;7065,107143;Media
Loreto;Peru;SANDOVAL S.A. - DINET;Rosa;Sur;Ringo;164603;35;Electrodomesticos;27/08/2015;4702,942857;Media
Loreto;Peru;MOLINOS & CIA S.A.;Marco;Sur;Ringo;62393;38;Electrodomesticos;28/08/2015;1641,921053;Bajo
Loreto;Peru;Banco Inca;Edwin;Norte;Ringo;236606;36;Viajes;14/08/2015;6572,388889;Alta
Loreto;Peru;Compañia Minera Poderosa, S.A.;Victor;Norte;Ringo;141965;24;Viajes;31/08/2015;5915,208333;Media
Loreto;Peru;CLINICA INTERNACIONAL S.A.;Victor;Norte;John;79057;32;Calzado;31/08/2015;2470,53125;Bajo
Loreto;Peru;Banco Interno;Nora;Sur;Ringo;169756;38;Juguetes;20/08/2015;4467,263158;Media
Loreto;Peru;IFH Peru LTD;Maria;Norte;Ringo;136293;27;Accesorios;14/08/2015;5047,888889;Media
